"","alpha","efe_1","T","y_2","final_reg_quant","gamma_0","gamma_1","predicted"
"376",-7.85979452577712,-57.0137703691866,"t4975",-0.439308051489671,-3.61156647629315,-3.40176568664757,0.00460366118909764,-3.66423776854031
"377",-0.376109485408442,135.04246443827,"t4976",-1.19146359131869,-2.94792071545678,-3.4103765888294,0.00450953901088048,-2.80139732731958
"378",6.58359979487693,-74.3360560567953,"t4977",-3.78302050944803,-3.67142322333447,-3.40909312993628,0.00457183752015098,-3.74894550011678
"379",-2.82061874720665,6.60580477321614,"t4978",-3.99218075926725,-3.3917305444277,-3.41025907936419,0.00440872954128365,-3.38113587271656
"380",6.14168607083774,86.5408243147369,"t4979",-1.24679261239837,-3.11551698169548,-3.40308599909718,0.00459595915001005,-3.00534790573845
"381",2.78232299774608,75.3624035962648,"t4980",-2.84772531692909,-3.15414374916334,-3.40658354623508,0.00467927416348544,-3.05394219818892
"382",0.656422421798359,-20.1618847708482,"t4981",-0.675201714071034,-3.48422566030411,-3.41724123292327,0.00477897697599929,-3.51359441603591
"383",-1.68105306588583,44.2494902602429,"t4982",-2.64885787271459,-3.26165368271702,-3.41929644989056,0.00476294004308609,-3.20853878084391
"384",-1.4808304677103,31.1001518682137,"t4983",-1.76207701213159,-3.30709090942524,-3.41594937675904,0.00473284893598538,-3.26875705608058
"385",-1.07300190648959,-66.9205026156439,"t4984",-3.18365411139131,-3.64579895443005,-3.42117189991993,0.00475289291515709,-3.73923788268058
"386",-0.743802127718046,18.4464402988514,"t4985",-1.78084030152598,-3.35081550941166,-3.40969262229782,0.00471119870361736,-3.32278777667552
"387",6.14195201745323,69.9476176392399,"t4986",-2.05976615982398,-3.17285441351547,-3.41816828161183,0.0045701282317062,-3.09849869949815
"388",3.13417302464453,-2.68056727419859,"t4987",3.95183580988432,-3.42381938262134,-3.41319909762318,0.00465215264256471,-3.42566950575142
"389",-5.42000313200584,56.7932885692001,"t4988",-2.04214790916905,-3.21830888539309,-3.40762619890515,0.00466730027568098,-3.14255486750929
"390",-4.82724855816638,-40.2899415658738,"t4989",-0.93586623639181,-3.55377768281087,-3.41277512072739,0.00457058663950089,-3.59692378935464
"391",-7.69562163355832,110.575165238248,"t4990",-2.22998450928575,-3.03246688710014,-3.40699592236951,0.0044994799715044,-2.90946518103422
"392",-3.0814058599516,-64.3745067684361,"t4991",-2.54391615687744,-3.63700132621038,-3.40351864378345,0.0045397545582318,-3.69576310431938
"393",0.223035805686944,-44.0857675873782,"t4992",-1.69002292143901,-3.56689406953255,-3.41224824886138,0.004589923726369,-3.61459855950588
"394",3.70152369367903,200.069404210381,"t4993",-1.66935190115565,-2.7232216685178,-3.41074459122277,0.00462216089093368,-2.48599161560915
"395",-0.775678400634446,174.164364162515,"t4994",0.661000049371846,-2.81273591953547,-3.40446805275693,0.00485149695065777,-2.55951017110924
"396",3.37745765719755,-17.3021412522763,"t4995",-0.0863357714390944,-3.47434388445298,-3.40609087607847,0.00483867461477252,-3.48981030773707
"397",-1.86507905734869,-98.210584528339,"t4996",-3.40504939104237,-3.75392108979526,-3.40359556801307,0.00483651067842298,-3.87859210881854
"398",-5.56514252692184,-235.910595191058,"t4997",-9.12106828309486,-4.22974020826883,-3.4189394724155,0.00457070906689896,-4.4972181688328
"399",-4.01822657656376,-25.0886122553674,"t4998",-2.25270162514267,-3.50124985018878,-3.41429255610014,0.00460959201024136,-3.52994082270052
"400",-3.72976882221979,36.7588326129706,"t4999",-2.89030864121552,-3.28753747242306,-3.42153989539727,0.00453809864933485,-3.25472468676522
"401",-12.5313504796577,88.5798752964633,"t4900",-1.94733053939957,-3.10847108942592,-3.4205560961419,0.00454857996748467,-3.01764344984612
"402",-0.417640379668047,-17.8793269385571,"t4901",-1.11323114454959,-3.47633833589216,-3.41704639090555,0.00463481406516658,-3.49991374687608
"403",-5.33338056825602,38.4171886940662,"t4902",-2.89267812319311,-3.28180706234666,-3.42160001541805,0.00468732430241558,-3.24152619322187
"404",-2.13817646146276,-59.4298827974076,"t4903",-2.54726412135065,-3.61991529544136,-3.41288756282478,0.00458834820488348,-3.6855725588747
"405",-5.31918851901023,-70.9689707539925,"t4904",-193.720191989079,-3.65978833998992,-3.41721647722324,0.00427572479849281,-3.72066026539959
"406",-9.45920248882114,-43.1028715195418,"t4905",-0.0933093203262496,-3.56349769549962,-3.42677153144927,0.00434392152484562,-3.61400702282566
"407",3.32718543599059,-76.5879139294045,"t4906",-207.952113256594,-3.67920446476441,-3.42640413658276,0.00441487071258059,-3.76452987472733
"408",7.86973943805345,144.639689175212,"t4907",16.1966462364292,-2.9147577331727,-3.41467108397049,0.00465442981129724,-2.74145580277662
"409",-3.17951806817585,47.6663575142785,"t4908",-2.19591920376474,-3.24984677902158,-3.41777999330989,0.00459835201930424,-3.19859330198123
"410",2.89826656549642,165.340730002751,"t4909",-2.12329158936192,-2.84322577794162,-3.41523582421247,0.00454297580896524,-2.66409688757332
"411",-3.17924356291934,198.070078189816,"t4910",-2.58004223132622,-2.73013029212696,-3.41814886224852,0.00456920233111266,-2.51312659925995
"412",-1.89269069895942,-55.84514447732,"t4911",-2.36616177037943,-3.60752831726166,-3.42029996964053,0.00464395178935466,-3.67964212826275
"413",-6.40744750796798,66.6988373376789,"t4912",0.0284065631937738,-3.18408049673626,-3.41947399267354,0.00470689836710305,-3.10552934412115
"414",4.48413142894449,3.92015206509765,"t4913",-2.80262171860498,-3.40101075361543,-3.42141467143814,0.00475607901852453,-3.40277011845191
"415",-9.38711638811008,-44.3842523615922,"t4914",-2.1664319779422,-3.56792547658518,-3.42311316908033,0.00459321438747813,-3.62697955560505
"416",2.69069314872766,35.4933594364302,"t4915",-0.0686363375262531,-3.29191028494802,-3.42368636221204,0.00457538690623754,-3.26129051018822
"417",4.22846447477774,-104.531608913525,"t4916",-2.71965799567093,-3.77576323952592,-3.42484122782386,0.00453014230970826,-3.8983842920649
"418",-1.78876802786744,-75.6964854987084,"t4917",0.972885731355603,-3.6761241549806,-3.42020633701267,0.0045026377826724,-3.76104019263467
"419",-0.460005010576546,-142.64331392764,"t4918",-0.350651981807442,-3.9074573316038,-3.42292732590924,0.00475607375295514,-4.10134944731503
"420",-1.38980639452177,-44.4995424861446,"t4919",-2.81970182815575,-3.56832385887411,-3.4236613774888,0.00467417129793628,-3.63165986174884
"421",3.11795321420248,49.9722990967169,"t4920",-1.40526251261782,-3.24187865261602,-3.41980928591034,0.00468888601787653,-3.1854948713946
"422",-4.21136826481556,-4.65390261227771,"t4921",-1.25157340554072,-3.43063819604407,-3.41837795585019,0.00469615446737517,-3.44023340139357
"423",-2.08254281033026,-59.5034107125774,"t4922",-26.6307253647589,-3.62016936940701,-3.42299948867813,0.0046731691657053,-3.70106899287445
"424",1.81895762529889,-72.7839046092028,"t4923",-3.91112284722099,-3.66605980084832,-3.42969605330437,0.00471088947017423,-3.77257298312603
"425",-8.46176513247038,8.90632677942004,"t4924",-1.87769689576874,-3.38378114523918,-3.42404275166015,0.0046991910642385,-3.38219022044311
"426",2.52707975435992,126.374113258864,"t4925",-2.67832640195791,-2.97787399721001,-3.42454483075602,0.00473994684783741,-2.82553825096642
"427",-7.48969217817074,54.025578190994,"t4926",-0.136169803575881,-3.22787264291214,-3.42126709112995,0.00478024792512311,-3.16301143307887
"428",-5.88677241518773,125.016158719344,"t4927",-1.43023447079413,-2.98256637688967,-3.42782383615411,0.00475759664878607,-2.83304737838686
"429",-1.13362983639172,32.7480765186898,"t4928",-1.46326391197205,-3.30139654490975,-3.42727835588947,0.00474430643346957,-3.27191144577809
"430",-3.64387841580329,-70.6927460764003,"t4929",-1.38120146358998,-3.65883385217281,-3.42000687639549,0.00477183663886331,-3.75734111222472
"431",-6.86887274187777,-53.5733151585976,"t4930",1.17580101971385,-3.59967806497371,-3.42180319983817,0.00478409534776727,-3.67810304765288
"432",0.250985685782667,-57.3780981960021,"t4931",-1.31254535453937,-3.61282540245123,-3.42129049143283,0.00475677107538169,-3.69422496929198
"433",-2.3882257350371,-118.476104049252,"t4932",0.317391474102513,-3.82394811148859,-3.42337928727284,0.00481941432468308,-3.99436472026045
"434",-3.36866690508058,-66.7590336683992,"t4933",-4.39154097856905,-3.64524100231539,-3.41930976664338,0.00473613668011482,-3.7354896747293
"435",-9.30383583012056,48.9306835916497,"t4934",-2.14836731765833,-3.24547793027057,-3.42428543021461,0.00482670625962515,-3.18811139343506
"436",1.93973358534245,46.8760779994136,"t4935",-0.329712241738332,-3.25257757112756,-3.42437933696031,0.00490908545401558,-3.19426066431209
"437",-5.87932785895673,-28.4476990174413,"t4936",-0.716738032379181,-3.5128570947657,-3.41879641759505,0.00473417647765211,-3.55347284512675
"438",-12.1688381060176,-93.593082189178,"t4937",-8.6581942085766,-3.73796542006077,-3.42053104384858,0.00465736407806627,-3.85642810279196
"439",11.1344306190419,61.0391892021483,"t4938",-2.85086300008341,-3.2036372765343,-3.41831284531452,0.00467721249801869,-3.13281958670931
"440",-3.3171083011945,-10.1747795025317,"t4939",-5.2940348993138,-3.44971545509786,-3.41709778897306,0.0046569076766219,-3.46448079774633
"441",3.97230987909831,23.404002947717,"t4940",-0.332396640880348,-3.33368476934847,-3.41637147976882,0.00473592647629519,-3.30553184255744
"442",5.95469657705044,-2.78533922260832,"t4941",-1.75277376172302,-3.42418141960226,-3.42333130643136,0.00478260413639251,-3.43665248131866
"443",1.03843320962764,56.8666314108951,"t4942",-1.08858143678425,-3.21805545094444,-3.41711952523634,0.00478111386193325,-3.14523368551626
"444",3.45067967027066,46.1918147447911,"t4943",-1.94584414788345,-3.25494202656261,-3.41833156144621,0.00466626763814245,-3.20278819115552
"445",-9.31330251219055,-130.619013721825,"t4944",-2.39397867143927,-3.86590764764476,-3.41998672556234,0.00457559251247055,-4.01764610673421
"446",-5.38677771252283,97.1027897406413,"t4945",-3.99805925801776,-3.07902036085925,-3.41804416236517,0.00460548803038868,-2.9708384264973
"447",-0.167515631997513,-29.7114519678814,"t4946",-9.04884692455669,-3.5172239630902,-3.41260512471259,0.00458197903050416,-3.54874237459526
"448",-3.84816564322861,29.6453031083673,"t4947",-7.91666760378278,-3.3121181047834,-3.41546882660064,0.00469413424308679,-3.27630979413297
"449",-2.425098097602,-27.4834355428344,"t4948",-5.77532976150255,-3.50952510521642,-3.40898104750284,0.00464430402974369,-3.53662247794562
"450",-7.73210254108481,32.3936010619998,"t4949",-0.477139254574633,-3.30262142643671,-3.42057687833006,0.0045243955773809,-3.27401541294971
"451",1.79264587440385,-14.2864897535389,"t4950",-2.70488910137133,-3.46392337227693,-3.40448787140338,0.0044459034387348,-3.46800422532608
"452",-13.2548647183221,-167.50217063381,"t4951",67.8687030912523,-3.99335652091587,-3.40922688371472,0.00451180056779127,-4.16496327228661
"453",-0.362196482423224,4.60012597219333,"t4952",-5.66042566672734,-3.39866111991895,-3.40774703392815,0.00443796710925972,-3.3873318261651
"454",6.05330844456044,-120.180911807485,"t4953",-4.11228748331746,-3.82983903423278,-3.41369558553703,0.0046047112176599,-3.96709397828555
"455",-1.92019152884733,-78.9820990138358,"t4954",2.99965430607295,-3.68747751449661,-3.41216059110314,0.00448340977932433,-3.76626970621334
"456",7.78445382099197,-78.3381806975246,"t4955",-6.49399914576551,-3.68525247003829,-3.40701407600699,0.00444529430516145,-3.7552503445384
"457",4.00256215004273,111.553682793181,"t4956",-2.75502624946243,-3.02908564291462,-3.41149424210074,0.00447431812537053,-2.91236757722738
"458",0.366611973980199,-28.9046274474096,"t4957",-5.60420437484126,-3.51443600011005,-3.41099948563272,0.00451755911668611,-3.54157784887218
"459",-4.93551094345901,-48.8527666042198,"t4958",-2.41088742316262,-3.58336632148839,-3.41356835542364,0.00448897830901931,-3.63286736504557
"460",-4.06226405725984,69.2343435782285,"t4959",-30.3674703218558,-3.17531911510341,-3.41108391014668,0.00462643393580832,-3.09077579349295
"461",-3.9841242733027,27.2136099430454,"t4960",-1.73189365848309,-3.32052076279885,-3.41314483363516,0.004630048904822,-3.28714448872211
"462",-4.12378908585208,-100.630589541505,"t4961",-2.97064840001107,-3.76228335967835,-3.39888581809403,0.00458328767827568,-3.86010475919723
"463",-3.08422055969441,24.6842495875525,"t4962",-14.173581679333,-3.32926090747175,-3.40259733973123,0.00460523321725082,-3.28892061358772
"464",2.68693137118138,114.903762532446,"t4963",-2.5636264634871,-3.01750952189124,-3.40569240911295,0.0045927977054729,-2.87796267220373
"465",1.4176270703784,80.6139616458071,"t4964",-3.4729711661158,-3.13599711497123,-3.40911223264984,0.00457002656042959,-3.04070428678705
"466",6.18192743930631,134.763501958406,"t4965",-1.29373770607514,-2.94888466368465,-3.40749335123952,0.00466720361552576,-2.77852464765834
"467",6.71037268819906,88.3062267928652,"t4966",-1.37922308822498,-3.10941667533493,-3.41332887428408,0.00469294529110262,-2.99891258308146
"468",-4.16470086216344,-53.3739073556221,"t4967",-2.01465117211769,-3.59898901604356,-3.42057554914858,0.00483249221558194,-3.67850454095981
"469",-10.0381039228499,12.1152998966013,"t4968",-2.4712505719028,-3.37269261479918,-3.40929141619908,0.00475018259310468,-3.35174152952001
"470",4.84199342171791,-19.5390738475417,"t4969",-2.08587631438327,-3.48207355194132,-3.41073940034208,0.00468631638698137,-3.50230568230025
"471",1.87743903830868,-61.8267254257875,"t4970",-2.62123217130678,-3.62819752825359,-3.40953492095391,0.00466515346670197,-3.69796608340886
"472",-1.04401212221511,61.2358476108006,"t4971",-0.821570279106973,-3.20295772807097,-3.41104788328097,0.00478395658722103,-3.11809824672922
"473",5.01930966650961,10.227061182546,"t4972",-2.71090214726062,-3.37921737885741,-3.41432283686654,0.00450138266128073,-3.36828692098357
